@relation SpeciesRelation

@attribute bin_0 numeric
@attribute bin_1 numeric
@attribute bin_2 numeric
@attribute bin_3 numeric
@attribute bin_4 numeric
@attribute bin_5 numeric
@attribute bin_6 numeric
@attribute bin_7 numeric
@attribute bin_8 numeric
@attribute bin_9 numeric
@attribute species_class {'African Wildcat','Aria Chicken','Basking Shark','Black Rohu','Blacktip shark','Blue shark','Bull shark',Catla,Cheetah,'Common Carp','Domestic Cat',Fish,'Freshwater Shark','Grass Carp','Hammerhead Shark',Jaguar,'Lemon Shark',Leopard,Lion,'Long-whiskered Catfish','Lucifer Chicken','Mako Shark','Mirror Carp',Mrigal,'Nile Tilapia',Nurse,'Popcorn Chicken',Puma,'Puma Concolor',Rohu,'Sand Cat','Sand tiger Shark',Shark,'Silver Carp','Snow leopard','Striped Catfish','Thresher Shark',Tiger,Whale,'White Shark','Whitetip Shark'}

@data
0.35,0.3,0.12,0.04,0.08,0.05,0.01,0.04,0,0.01,'Whitetip Shark'
0.33,0.23,0.11,0.13,0.06,0.01,0.08,0.05,0,0,'African Wildcat'
0.83,0.11,0.03,0.01,0,0,0,0.02,0,0,'African Wildcat'
0.67,0.2,0.04,0.03,0.03,0,0,0.03,0,0,'African Wildcat'
0.9,0.08,0,0,0.02,0,0,0,0,0,'African Wildcat'
0.72,0.15,0.08,0.01,0.02,0,0,0.01,0.01,0,'African Wildcat'
0.68,0.07,0.07,0.03,0.02,0.06,0.01,0.01,0.05,0,'African Wildcat'
0.6,0.21,0.09,0.05,0.02,0.01,0,0.02,0,0,'African Wildcat'
0.65,0.11,0.1,0.03,0.06,0.02,0.01,0.01,0.01,0,'African Wildcat'
0.72,0.17,0.06,0.01,0.02,0.01,0.01,0,0,0,'African Wildcat'
0.46,0.2,0.16,0.05,0.07,0,0.03,0.02,0.01,0,'African Wildcat'
0.6,0.2,0.07,0.05,0.02,0.02,0.02,0.02,0,0,'African Wildcat'
0.57,0.23,0.11,0.02,0.01,0.02,0.03,0.01,0,0,'African Wildcat'
0.15,0.11,0.13,0.49,0.03,0.02,0.03,0.02,0.02,0,'African Wildcat'
0.43,0.27,0.08,0.11,0.08,0.02,0,0.01,0,0,'African Wildcat'
0.71,0.19,0.03,0.01,0.01,0.01,0.03,0.01,0,0,'African Wildcat'
0.47,0.23,0.1,0.06,0.04,0.04,0.05,0,0.01,0,'African Wildcat'
0.75,0.17,0.08,0,0,0,0,0,0,0,'African Wildcat'
0.45,0.22,0.19,0.05,0.05,0.01,0.01,0,0.01,0.01,'African Wildcat'
0.54,0.25,0.12,0.05,0.03,0.01,0,0,0,0,'African Wildcat'
0.81,0.09,0.08,0.02,0,0,0,0,0,0,'African Wildcat'
0.9,0.05,0.01,0,0.01,0.01,0.02,0,0,0,'African Wildcat'
0.61,0.2,0.07,0.08,0.03,0,0.01,0,0,0,'African Wildcat'
0.57,0.23,0.07,0.02,0.02,0.03,0.03,0.01,0.02,0,'African Wildcat'
0.75,0.18,0.06,0,0.01,0,0,0,0,0,'African Wildcat'
0.87,0.09,0.02,0.01,0,0,0,0,0.01,0,'African Wildcat'
0.45,0.23,0.18,0.07,0.05,0.01,0,0.01,0,0,'African Wildcat'
0.29,0.25,0.13,0.06,0.19,0.03,0.03,0.02,0,0,'African Wildcat'
0.39,0.26,0.16,0.11,0.04,0.02,0.01,0.01,0,0,'African Wildcat'
0.56,0.26,0.09,0.01,0.04,0.02,0.01,0.01,0,0,'African Wildcat'
0.67,0.14,0.1,0.01,0.05,0,0.03,0,0,0,'African Wildcat'
0.53,0.33,0.09,0.04,0.01,0,0,0,0,0,'African Wildcat'
0.78,0.14,0.04,0.02,0.01,0,0.01,0,0,0,'African Wildcat'
0.6,0.17,0.13,0.04,0.03,0.01,0,0.01,0,0.01,'African Wildcat'
0.75,0.2,0.02,0.03,0,0,0,0,0,0,'African Wildcat'
0.7,0.16,0.04,0.01,0,0.01,0,0,0.02,0.06,'African Wildcat'
0.24,0.14,0.19,0.12,0.14,0.09,0.02,0.04,0.02,0,'African Wildcat'
0.79,0.13,0.05,0.01,0.02,0,0,0,0,0,'African Wildcat'
0.76,0.11,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0,'African Wildcat'
0.65,0.24,0.05,0.04,0,0.01,0,0,0.01,0,'African Wildcat'
0.58,0.24,0.05,0.01,0.01,0.02,0.03,0.02,0.04,0,'African Wildcat'
0.51,0.19,0.06,0.08,0.07,0.02,0.03,0.02,0.02,0,'African Wildcat'
0.84,0.1,0.02,0.03,0.01,0,0,0,0,0,'African Wildcat'
0.77,0.11,0,0.01,0.04,0.02,0.02,0.01,0.02,0,'African Wildcat'
0.43,0.24,0.18,0.06,0,0.01,0,0,0.01,0.07,'African Wildcat'
0.42,0.36,0.08,0.07,0.04,0,0.02,0,0.01,0,'African Wildcat'
0.62,0.18,0.07,0.03,0.05,0.03,0.01,0.01,0,0,'African Wildcat'
0.31,0.3,0.2,0.09,0.03,0.03,0.03,0,0,0.01,'African Wildcat'
0.55,0.21,0.07,0.03,0.04,0.01,0.02,0.04,0.03,0,'African Wildcat'
0.64,0.13,0.1,0.03,0.06,0.01,0.01,0.02,0,0,'African Wildcat'
0.76,0.13,0.05,0.03,0.02,0.01,0,0,0,0,'African Wildcat'
0.75,0.15,0,0,0,0.02,0.02,0.01,0.05,0,'African Wildcat'
0.54,0.24,0.07,0.04,0.03,0,0,0,0.03,0.05,'African Wildcat'
0.55,0.17,0.08,0.07,0.08,0.03,0.01,0,0.01,0,'African Wildcat'
0.76,0.12,0.08,0.02,0.01,0.01,0,0,0,0,'African Wildcat'
0.66,0.1,0.12,0.05,0.04,0.01,0.02,0,0,0,'African Wildcat'
0.56,0.22,0.06,0.08,0.02,0.02,0.03,0.01,0,0,'African Wildcat'
0.6,0.14,0.12,0.04,0.04,0.04,0.01,0.01,0,0,'African Wildcat'
0.84,0.08,0.03,0.03,0,0.01,0,0.01,0,0,'African Wildcat'
0.54,0.26,0.11,0.03,0.02,0.01,0.02,0.01,0,0,'African Wildcat'
0.84,0.1,0.03,0.01,0,0,0,0.02,0,0,'African Wildcat'
0.84,0.06,0.05,0.04,0.01,0,0,0,0,0,'African Wildcat'
0.86,0.08,0.03,0,0.01,0.01,0,0.01,0,0,'African Wildcat'
0.89,0.05,0.03,0.02,0.01,0,0,0,0,0,'African Wildcat'
0.76,0.14,0.03,0.04,0,0.03,0,0,0,0,'African Wildcat'
0.72,0.1,0.03,0.02,0.02,0,0.03,0.03,0.02,0.03,'African Wildcat'
0.67,0.18,0.08,0.02,0.02,0,0.02,0.01,0,0,'African Wildcat'
0.28,0.17,0.09,0.1,0.08,0.04,0.02,0.05,0.17,0,'African Wildcat'
0.37,0.22,0.16,0.11,0.08,0.02,0.02,0.02,0,0,'African Wildcat'
0.92,0.04,0.01,0.01,0,0,0.01,0.01,0,0,'African Wildcat'
0.41,0.25,0.15,0.11,0.04,0.03,0,0.01,0,0,'African Wildcat'
0.39,0.17,0.14,0.13,0.06,0.03,0.04,0.03,0.01,0,'African Wildcat'
0.66,0.22,0.08,0.01,0.01,0.01,0,0.01,0,0,'African Wildcat'
0.78,0.12,0.04,0.02,0.02,0.01,0.01,0,0,0,'African Wildcat'
0.31,0.16,0.16,0.14,0.11,0.06,0.03,0.02,0.01,0,'African Wildcat'
0.91,0.04,0.03,0.02,0,0,0,0,0,0,'African Wildcat'
0.61,0.26,0.05,0.08,0,0,0,0,0,0,'African Wildcat'
0.2,0.22,0.17,0.1,0.05,0.06,0.07,0.06,0.06,0.01,'African Wildcat'
0.91,0.06,0,0,0.02,0,0.01,0,0,0,'African Wildcat'
0.47,0.22,0.15,0.07,0.02,0.03,0.03,0.01,0,0,'African Wildcat'
0.38,0.34,0.1,0.07,0.04,0.02,0.02,0.02,0,0.01,'African Wildcat'
0.6,0.21,0.11,0.04,0.02,0,0.01,0,0.01,0,'African Wildcat'
0.43,0.27,0.08,0.02,0.07,0.1,0.01,0.02,0,0,'African Wildcat'
0.56,0.17,0.09,0.09,0.06,0.01,0,0.01,0.01,0,'African Wildcat'
0.76,0.08,0.07,0.04,0.05,0,0,0,0,0,'African Wildcat'
0.69,0.2,0.06,0.03,0,0,0.01,0.01,0,0,'African Wildcat'
0.35,0.17,0.18,0.11,0.06,0.04,0.01,0,0.03,0.05,'African Wildcat'
0.39,0.26,0.12,0.11,0.06,0.04,0.01,0.01,0,0,'African Wildcat'
0.52,0.26,0.11,0.07,0.03,0,0,0,0.01,0,'African Wildcat'
0.61,0.18,0.05,0.03,0.04,0.01,0,0,0.03,0.05,'African Wildcat'
0.44,0.22,0.19,0.06,0.07,0.01,0,0.01,0,0,'African Wildcat'
0.54,0.24,0.13,0.06,0.02,0,0,0.01,0,0,'African Wildcat'
0.47,0.21,0.14,0.1,0.04,0.03,0.01,0,0,0,'African Wildcat'
0.53,0.17,0.12,0.09,0.06,0.02,0,0.01,0,0,'African Wildcat'
0.84,0.06,0.03,0.01,0.02,0.02,0,0.01,0,0.01,'African Wildcat'
0.58,0.19,0.12,0.04,0.02,0.01,0.02,0.01,0.01,0,'African Wildcat'
0.65,0.17,0.1,0.04,0.03,0.01,0,0,0,0,'African Wildcat'
0.43,0.29,0.08,0.11,0.04,0.03,0.02,0,0,0,'African Wildcat'
0.64,0.22,0.06,0.02,0.02,0.01,0,0.02,0.01,0,'African Wildcat'
0.76,0.11,0.09,0.02,0.01,0.01,0,0,0,0,'African Wildcat'
0.86,0.08,0.01,0.01,0,0,0,0.01,0.01,0.02,'African Wildcat'
0.62,0.17,0.1,0.06,0.04,0,0.01,0,0,0,'African Wildcat'
0.7,0.19,0.06,0.02,0.01,0,0.02,0,0,0,'African Wildcat'
0.55,0.21,0.1,0.03,0.02,0.02,0.04,0.03,0,0,'African Wildcat'
0.59,0.19,0.09,0.05,0.05,0,0.02,0.01,0,0,'African Wildcat'
0.37,0.25,0.1,0.1,0.05,0.05,0.04,0.03,0.01,0,'African Wildcat'
0.63,0.21,0.09,0.04,0,0.02,0,0.01,0,0,'African Wildcat'
0.6,0.22,0.13,0.04,0.01,0,0,0,0,0,'African Wildcat'
0.65,0.16,0.09,0.04,0.03,0.02,0.01,0,0,0,'African Wildcat'
0.25,0.15,0.39,0.02,0.06,0.07,0.04,0.02,0,0,'African Wildcat'
0.64,0.2,0.07,0,0.01,0,0,0,0.02,0.06,'African Wildcat'
0.68,0.16,0.08,0.05,0.02,0.01,0,0,0,0,'African Wildcat'
